prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.989
0,0,1,32,8.11767
0,0,1,64,8.203
0,0,1,128,11.4127
0,0,1,256,11.8077
0,0,1,512,12.3093
0,0,1,768,12.5657
0,0,1,1024,13.3863
0,0,1,1152,13.4403
0,0,1,1728,14.528
0,0,1,2048,15.6587
0,0,1,2592,16.736
0,0,1,3888,20.1493
0,0,1,4096,20.96
0,0,1,5832,24.9707
0,0,1,8192,32.0537
0,0,1,8748,33.184
0,0,1,13122,38.464
0,0,1,16384,42.411
0,0,2,16,12.2033
0,0,2,32,12.1287
0,0,2,64,12.3833
0,0,2,128,14.6883
0,0,2,256,15.0927
0,0,2,512,15.5517
0,0,2,768,16.31
0,0,2,1024,17.4297
0,0,2,1152,17.5037
0,0,2,1728,19.8827
0,0,2,2048,21.279
0,0,2,2592,23.2957
0,0,2,3888,28.4803
0,0,2,4096,29.7597
0,0,2,5832,36.4797
0,0,2,8192,40.9387
0,0,2,8748,42.635
0,0,2,13122,54.165
0,0,2,16384,64.5443
0,0,4,16,12.426
0,0,4,32,12.3957
0,0,4,64,12.5227
0,0,4,128,14.8797
0,0,4,256,15.5307
0,0,4,512,16.8523
0,0,4,768,18.272
0,0,4,1024,20.107
0,0,4,1152,20.694
0,0,4,1728,24.8417
0,0,4,2048,26.913
0,0,4,2592,30.3573
0,0,4,3888,37.28
0,0,4,4096,38.7097
0,0,4,5832,48.342
0,0,4,8192,60.907
0,0,4,8748,63.6907
0,0,4,13122,88.565
0,0,4,16384,106.998
0,0,8,16,12.5757
0,0,8,32,12.5543
0,0,8,64,12.7147
0,0,8,128,15.1783
0,0,8,256,16.4797
0,0,8,512,19.3273
0,0,8,768,22.7423
0,0,8,1024,25.9413
0,0,8,1152,27.4563
0,0,8,1728,34.7727
0,0,8,2048,37.1303
0,0,8,2592,42.934
0,0,8,3888,56.9387
0,0,8,4096,59.158
0,0,8,5832,79.786
0,0,8,8192,108.01
0,0,8,8748,113.471
0,0,8,13122,161.418
0,0,8,16384,196.17
0,0,16,16,12.7357
0,0,16,32,12.9593
0,0,16,64,13.312
0,0,16,128,16.0313
0,0,16,256,19.9897
0,0,16,512,24.758
0,0,16,768,31.9683
0,0,16,1024,36.9073
0,0,16,1152,38.9127
0,0,16,1728,51.2533
0,0,16,2048,59.136
0,0,16,2592,71.041
0,0,16,3888,103.627
0,0,16,4096,109.312
0,0,16,5832,148.64
0,0,16,8192,199.031
0,0,16,8748,212.086
0,0,16,13122,307.202
0,0,16,16384,376.982
0,0,32,16,12.896
0,0,32,32,13.258
0,0,32,64,14.4747
0,0,32,128,19.456
0,0,32,256,25.184
0,0,32,512,36.086
0,0,32,768,47.9573
0,0,32,1024,58.2617
0,0,32,1152,64.4487
0,0,32,1728,95.253
0,0,32,2048,111.264
0,0,32,2592,136.758
0,0,32,3888,196.779
0,0,32,4096,206.305
0,0,32,5832,283.424
0,0,32,8192,380.609
0,0,32,8748,404.961
0,0,32,13122,593.229
0,0,32,16384,735.105
0,0,64,16,17.0773
0,0,64,32,17.5887
0,0,64,64,19.2637
0,0,64,128,25.6733
0,0,64,256,36.3943
0,0,64,512,58.6667
0,0,64,768,87.584
0,0,64,1024,118.177
0,0,64,1152,131.861
0,0,64,1728,183.35
0,0,64,2048,212.086
0,0,64,2592,258.614
0,0,64,3888,370.988
0,0,64,4096,390.732
0,0,64,5832,540.503
0,0,64,8192,743.874
0,0,64,8748,790.072
0,0,64,13122,1158.43
0,0,64,16384,1439.75
0,0,128,16,22.08
0,0,128,32,22.646
0,0,128,64,25.8453
